Finished,ResponseId,Consent,US,Condition,Why,Continue,Reverse,Interest,Politics,Sex,Vegan
1,R_10pjgrufGfpQKyy,1,1,1,Veganism and vegetarianism,,,3,5,2,2
1,R_1gBZUA6mL6tacxC,1,1,3,,,New health studies and a desire to live more healthy. ,6,6,1,2
1,R_1hWNzMchGP94oj3,1,1,2,,Social pressure,,1,7,2,2
1,R_2Pp8moFHTHH1XKz,1,1,2,,Many think that limiting meats and trending toward whole grain-focused diets is healthy.,,1,7,1,2
1,R_263gExOLZbcT7HE,1,1,3,,,Low carb diet popularity ,6,6,2,2
1,R_2UVoHgvku1hiEgx,1,1,1,Because most people are accustom to eating heavy meat diets. Society often cooks dishes heavy in meat. That means to limit your meat consumption you have to be very intentional about it and often invest a little bit more time to do so. ,,,7,7,2,2
1,R_1rvl7w79BBRehH5,1,1,3,,,getting tired of limiting meat,4,5,1,2
1,R_1kFjrBIxIMQCSo7,1,1,2,,People are afraid of how there meat sources are being raised.,,3,5,2,2
1,R_2rONcVuIurZJAIZ,1,1,1,People may not understand the importance of protein. They believe what they hear from media.,,,1,7,2,2
1,R_30q5B0LUa53w04C,1,2,FALSE,,,,,,,
1,R_3q9EsrFUJ95tGkT,1,1,3,,,"I think that the bad wagon factor is in play right now. There has been a recent movement, especially in the younger generations to save the planet. I think many people are jumping on this idea for now, but it will not continue to be a lifestyle that they choose to continue as they age in life. ",2,6,2,2
1,R_WxhwSwW7cHVXldf,1,1,2,,Because people like to follow trends. And because animals are maybe being fed things that make their meat unhealthy.,,1,4,2,2
1,R_3EKDH6jNESrzwgI,1,1,3,,,Meat is fairly inexpensive and a good source of protein.,1,4,2,2
1,R_1k1PVxvXBWrRZMa,1,1,FALSE,,,,2,5,2,2
1,R_12sAGpOxSbN9NSo,1,1,3,,,Can't tell,4,4,1,2
1,R_1pRJmajbCTw7i6n,1,1,2,,Caricinogenic effects from meat,,2,6,2,2
1,R_1ps9FaxDAYZlQfW,1,1,3,,,Less people growing gardens.,4,6,2,2
1,R_333C1i3LwYpmgDV,1,1,2,,Some people do so to save animal lives.  Others for health diets.  I think it will continue because body image is going to stay important to the world. And joining a cause will stay important to the world. ,,3,6,2,2
1,R_3k6Wd5sGSr1UpBH,1,1,2,,"People are becoming more concerned about the treatment of animals and what the process is (antibiotics, growth hormones, etc) most likely due to the ease of information sharing via social media. ",,3,6,2,2
1,R_3R2dMNeazOXeCbA,1,1,3,,,A lot of people are becoming more aware and conscious about what they are putting into their bodies. A lot of meat consumption is not good for your body so many people will lessen how much meat they eat.,1,7,2,2
1,R_BzVpm3t9HG2KtlD,1,1,1,Vegan/Vegetarians ,,,1,5,2,2
1,R_2c2vhhJVxNPZma7,1,1,2,,Vegetarianism is growing. We have developed a very love everything and don’t kill anything culture. ,,1,6,2,2
1,R_3KDi14WrRJ4DXJj,1,1,3,,,"Many items that are supposed to be ""healthy"" are expensive. For example, to buy three bell pepper it is six dollar that is the same as buying chicken or beef. Many things that are meant to help you become a healthier person is not an average everyday person/ homebody are able to pay for. Also, many fads or diets that are becoming popular with many people because protein helps feed your body the nutrients that it needs. ",1,4,2,2
1,R_bfwooZ3OI71D4dP,1,1,1,"I think that the only people who intentionally limit their meat consumption are those people who either have health conditions and their doctors recommend they do so, or people who are educated and understand the benefits of meat regulation.",,,2,2,1,2
1,R_OxRksMACuPQpFWp,1,1,3,,,There is a widespread belief that people should have high protein consumption and very low carb consumption and the best way to follow such a diet is to consume a lot of meat. ,6,4,2,2
1,R_1pMXMMPgA5QShNB,1,1,2,,It’s kind of a fad to go vegan ,,1,6,2,2
1,R_3st7ARhun3bGYXs,1,1,1,Weight loss,,,4,2,2,2
1,R_rdln3FriwA4YnWp,1,1,2,,Because it’s becoming the so called “norm” I feel like most people do it because others are. It’s the “popular” thing to do,,1,6,2,2
1,R_8v111XVCTaYhT3j,1,1,3,,,Tree-huggin hippies spreading their veganism,1,4,2,2
1,R_2y3nYrQTJ0Lcu0R,1,1,1,"These people have probably read articles or books describing the health risks associated with meat consumption (particularly red meat consumption), and have this chosen to limit their consumption of meat.  ",,,4,7,2,2
1,R_3mfxs7bWVRMxe9M,1,1,1,"Religion, preference, anti animal cruelty, uninformed",,,1,5,1,2
1,R_AvRuD4n6zWnb6Mh,1,1,1,"Some dietary restrictions, but some could also be the trend that’s going on now, of vegan eating. ",,,2,6,2,2
1,R_3nixMsuJfbKZB4S,1,1,2,,"Awareness of how meat is produced is growing, which is turning people away from meat. Also, producing meat is a ginormous waste of land and resources, like water, and it seems unlikely that our land will be able to sustain its resources being used that much. ",,7,3,2,2
1,R_Og2Vn9xWIowFW37,1,1,3,,,I'm surprised that it wouldn't continue to rise. Maybe some economic reasons?,5,5,2,2
1,R_3I4PbSaqPYGVgH9,1,1,3,,,I think that this trend will rapidly increase do to supply and demand. Meat is fairly cheap because of the huge supply we have. Meat is also demanded by consumers and can be found in every day cooking as well as fast food resteraunts. I think as the economy grows so will the supply and demand of meat. ,3,6,1,2
1,R_2X73G3XztgsurJ2,1,1,1,Because only 30% really believe that meat has a negative impact on human health.,,,7,6,1,1
1,R_1q3OScyCrEivgwd,1,1,2,,People feel better when they eat meat sparingly.,,2,6,2,2
1,R_W37ktd2ixK9HHoJ,1,1,2,,Popular fads ,,1,5,2,2
1,R_1QJZXr3y8Z94LSQ,1,1,3,,,I think it’s just a trend to limit meat consumption right now.,3,3,1,2
1,R_NXBegdUy0QOm4GR,1,1,1,"Many people, myself included, are not overly conscious about their diets. They probably choose their foods out of convenience and habit.",,,5,3,2,2
1,R_3gZNgJOFBDb0NJ5,1,1,3,,,People are lazy and want things done quick and simply. Sometimes with a meal they just want a grab and go meal.,1,6,2,2
1,R_3nVnpepdqTLdPqA,1,1,2,,Because people want to be healthier ,,4,6,2,2
1,R_xkZDu8OyKsN1gFH,1,1,1,Either the 70% is part vegetarian or cannot afford meat or do not have it available to them or love meat and will never stop eating it.,,,5,3,2,2
1,R_3MfG77lv0Dg9gSU,1,1,2,,Yes,,5,3,2,2
1,R_2PinkKspU5c2HmH,1,1,3,,,Because more people are claiming to be vegans or vegetarians nowadays. ,1,4,2,2
1,R_Rz6fbK75TsqzlnP,1,1,3,,,Advertising or drop in obesity and people will relax their eating habits.,6,5,2,2
1,R_3erzvvFnm7ucsHf,1,1,1,I think it's because they don't like meat,,,1,4,2,2
1,R_tRMzjwWH1xiPRi9,1,1,3,,,I think that this trend may reverse in the future do to the wealth of America and that we have access to meat. Also because did the trend of diets now. They encourage you to eat protein and more meat. ,4,6,2,2
1,R_2TOe4npdHOtcUUc,1,1,2,,There is more awareness about animal cruelty and the effect meat eating has in the planet. ,,3,5,2,2
1,R_1BOQvsCHenOYCUP,1,1,1,I believe it is 30% because there are a good majority of people love to eat meat and don’t think I know it’s too bad for them. I think 30% resembles the dietitians and other health nuts that are mindful of how much meat they consume.,,,3,4,1,2
1,R_DvFE9d8ea5oTHoZ,1,1,2,,There are people that are animal activists and maybe are concerned about how the animals are raised and slaughtered to feed the country,,2,7,2,2
1,R_30pc8WpZN96YE2k,1,1,3,,,It'll cost more to eat more fruits and vegetables than eating meat. ,6,4,1,2
1,R_3nJbIWlfwdSRlPy,1,1,1,I think it is 40% because only some people limit their meat intake because most Americans love meat. ,,,5,4,2,2
1,R_12mXPEiX78Byxh4,1,1,3,,,Protein helps build muscle and people are wanting the appearance of muscles and fitness.,1,6,2,2
1,R_2fplz6vPvzVaBJg,1,1,1,Most people do not see a problem with eating meat.,,,7,5,2,1
1,R_1mqFCj8aTnFrU6x,1,1,3,,,People will see that eating meat really isn’t so bad for you when eaten responsibly.  ,4,6,2,2
1,R_1d0U72ZsJogv5NC,1,1,1,"Vegan/vegetarian diets and animal rights activism are a current ""trend"" in the US right now. Personally speaking as someone who loves to eat meat, the amount of comments I have gotten about my ""lifestyle"" against animal rights is incredible.",,,1,4,2,2
1,R_1mEqpwBt7rFtnQC,1,1,3,,,For health reasons it might slow. ,4,2,2,2
1,R_21HD7PnmLs1yx1Z,1,1,2,,People are trying to be healthier by cutting out red meat ,,5,6,2,2
1,R_274mAStLit4w0aX,1,1,3,,,There will probably be a study that will come out about how you need more meats in your diet.,1,4,2,2
