Finished,ResponseId,Consent,US,Why,Continue,Reverse,Interest,Politics,Sex,Vegan
1,R_33r9b0kKoq10t9w,1,1,,,meat is gross,4,4,1,2
1,R_2S6uEwpi5jC0wMO,1,1,meat is gross,,,4,4,1,2
1,R_3kHrnf7W7fJ46Ts,1,1,,sfdgxzg,,4,3,1,2
1,R_1qfgkLKpENF64J5,1,1,,bc,,4,2,2,2
1,R_3oEDs4sHFPFspXq,1,1,,Because of new technology that is saying meat is bad for you,,1,6,2,2
1,R_3FWYhhCPfi42WVY,1,1,Enough people either don't care or don't see meat as an issue.,,,1,4,1,2
1,R_25NPjzgMumia756,1,1,,,"Vegetarian and vegans are only a fraction of the population, as more and more people are born and get older, the amount of people who are meat eaters will more vastly outnumber those who are vegans/vegetarians ",4,2,1,2
1,R_3hDRztvrKP21EEi,1,1,,"Because the research presented shows that it might continue in the future, although my opinion I think it would be the opposite.",,2,5,2,2
1,R_zcbMX0PPZh4DceB,1,1,,,I think this trend is expected to slow because this is just a “fad diet” of sorts and it’s the cool and hip thing to be vegan or vegetarian. ,4,4,2,2
1,R_2DV4DQTpE1qsgsz,1,1,,I think this trend could continue because it is a fad and there are positives in consuming lesser amounts of meat. ,,1,5,2,2
1,R_2cbza0aORI6YzCq,1,1,,,I'm not sure,2,6,2,2
1,R_2X1KEEImyCmIW92,1,1,,,I honestly have no idea. ,4,4,1,2
1,R_smSqX68qBZkpFYt,1,1,I think people limit their meat consumption for a variety of  reasons. Some do it for health reasons others probably do it to save money. ,,,3,4,2,2
1,R_r6dvuGQAEy58jCh,1,1,"I think the majority of people in the United States are not conscientious of their diets, which includes meat consumption. However, people how are conscientious about their diet are also willing to limit meat consumption.  ",,,1,3,2,1
1,R_1k1VKGx2vZUqhXv,1,1,,"I think this trend may continue in the future because a lot of people think that not eating meat is a ""trendy"" thing to do. It seems sometimes that people do not eat meat because it is the cool thing to do, and are not aware of the lack of nutrients it is giving them. ",,1,7,2,2
1,R_qWJnFPQc7XvnNFn,1,1,Because we’re uneducated about a healthy diet ,,,5,5,2,2
1,R_23dhXM7FzuTsJ8j,1,1,"Because, following this logic, 7 out of 10 Americans would not limit their meat consumption.",,,2,5,2,2
1,R_3hDCHxCG6YzZ8pE,1,1,,I think this trend will continue because many people are actively trying to eat more healthy due to disease risks such as diabetes and heart health. ,,5,6,2,2
1,R_d0BODZpY3wawYgN,1,1,,,Because we are becoming more & more aware of the effect it has on our bodies. ,5,6,2,2
1,R_1ojtjVNb7mT0RyG,1,1,,I think people are trying to eat healthier.,,3,7,2,2
1,R_3eq3TrPlBgM5Zyw,1,1,There are a lot of reasons. Some are health because some believe that certain meats are unhealthy. Additionally there are some individuals who do not believe in eating animal products. The cost of meats are higher than other foods which may limit the purchase of meats.,,,2,5,2,2
1,R_3MyWgLzE0nPCjLP,1,1,,,Because with less meat consumption there will probably be new advertising that comes out to inform people on the benefits of eating meat or that the process for making meat has been improved.,7,6,2,2
1,R_r85Len3tkm4yIw1,1,1,,I think this trend will continue because of the popularity of vegetarian style diets,,1,6,1,2
1,R_p58zF2zPs6dL6hj,1,1,More people are learning the consequences of eating too much animal products,,,4,6,2,2
1,R_2YP6sv3wkksI9RL,1,1,,Because people are more knowledgeable about obesity and dietary concerns and it will continue to affect the younger generations,,7,7,2,2
1,R_poZvDjey1VuUhbP,1,1,Diet reasons. ,,,1,5,2,2
1,R_27CryTUQAlZZId4,1,1,Vegetarians and vegan I is a growing lifestyle ,,,1,6,1,2
1,R_1LiEwlrLJBLWU6z,1,1,,"It might continue. If I agreed, I would attribute it to the steady increase shown from 2010 to 2015.",,1,6,1,2
1,R_2WD8Zo5jNoucwQc,1,1,,,Because they are not getting the protein that they need from their meatless diets.,2,6,1,2
1,R_2bVF3NtOadRKmFs,1,1,,,Decrease in price of meat and new diet fads that say meat is good for you.,4,5,2,2
1,R_00uQa3LFfUlizQZ,1,1,"I think it’s 30% because eating meat (or eating in general for that matter) is popular, people like it and consume it despite the health issues it can cause. So it makes sense that those who limit their meat intake would be in the minority.",,,5,4,2,2
1,R_81U8JYy925V8w4V,1,1,,Because of a push to eat healthier,,4,4,1,2
1,R_2Ua9XdKHgM5sBQe,1,1,Most people realize too much meat consumption can cause great problems but it is difficult to limit that in our society,,,4,5,1,2
1,R_2ts26SfnVyg2oO5,1,1,,,A Vegetarian or vegan diet is hard to keep up with. The in C 89 says that we are supposed to eat meat sparingly. As the church grows I think that will change.,1,5,2,2
